;Peso Total;1;; R$1,71 ;;Peso Total;580;; R$5,22 ;;Peso Total;0;; R$-   ;;;;;;;;;;;;;;
;PESO DEPOIS DE PRONTO;1;PREÇO/KG ?; R$1.705,35 ;;PESO DEPOIS DE PRONTO;400;PREÇO/KG ?; R$13,05 ;;PESO DEPOIS DE PRONTO;0;PREÇO/KG ?;  ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ZZ PREPARO 31;;;;;ZZ PREPARO 32;;;;;ZZ PREPARO 33;;;;;;;;;;;;;;;;;
;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;;;;;  ;  ;;;;;;;;;;;;;;
;Peso Total;0;; R$-   ;;Peso Total;0;; R$-   ;;Peso Total;0;; R$-   ;;;;;;;;;;;;;;
;PESO DEPOIS DE PRONTO;0;PREÇO/KG ?;  ;;PESO DEPOIS DE PRONTO;0;PREÇO/KG ?;  ;;PESO DEPOIS DE PRONTO;0;PREÇO/KG ?;  ;;;;;;;;;;;;;;
